id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_state_name,place_country_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name,taxon_subspecies_name
8534332,2c45b1bf-9694-4cba-b31a-935b5aafc11b,2017/06/13 10:06 AM MSK,2017-06-13,2017-06-13 07:06:00 UTC,Moscow,677594,nakarb,Nikolai Vladimirov,2017-10-24 19:36:47 UTC,2017-12-01 17:59:39 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/8534332,https://inaturalist-open-data.s3.amazonaws.com/photos/11397699/medium.jpg,,"",,0,0,false,,"Кучинг, Сарауак, Малайзия",1.7576410107,110.3198468685,15,,,,15,,,false,,,,Sarawak,Malaysia,Armigeres,Armigeres,,Insecta,155313,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Armigeres,,
28055548,88456e8f-59f9-4457-9a92-cfd0bd8b6ead,2019-07-02 7:19:05 pm GMT+08:00,2019-07-02,2019-07-02 11:19:05 UTC,Australia/Perth,1645389,azamuddeen_nasir,AZAMUDDEEN NASIR,2019-07-02 13:50:02 UTC,2024-02-29 15:35:12 UTC,needs_id,,https://www.inaturalist.org/observations/28055548,https://static.inaturalist.org/photos/43708752/medium.jpeg,,"",,1,0,false,2,"Tanjung Kidurong, Sarawak, Malaysia",3.2305555344,113.0797195435,,,,,,,,false,gps,gps,,Sarawak,Malaysia,Malaria Mosquitoes,Anopheles,,Insecta,146949,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,,
30424050,b4f71edc-6c35-4247-a090-5a500866b480,2019/07/06 9:51 AM CST,2019-07-06,2019-07-06 01:51:00 UTC,Taipei,859305,roeyo,CHUNG CHANG-LIN,2019-08-08 14:42:24 UTC,2022-10-03 12:45:47 UTC,needs_id,CC-BY-NC-ND,https://www.inaturalist.org/observations/30424050,https://inaturalist-open-data.s3.amazonaws.com/photos/47529723/medium.jpg,,"",,0,0,false,,馬來西亞砂拉越美里省,3.4233171227,115.0896867939,286,,,,286,,,false,,,,Sarawak,Malaysia,蚊科,Culicidae,Mosquitoes,Insecta,52134,Animalia,Arthropoda,Insecta,Diptera,Culicidae,,,
30902325,c9a372ce-5479-4701-ad2b-08a295f2127e,2011/10/14 12:05 PM AEDT,2011-10-14,2011-10-14 01:05:00 UTC,Melbourne,14240,lmata,Luis Mata,2019-08-15 23:03:44 UTC,2020-02-07 14:22:04 UTC,needs_id,CC0,https://www.inaturalist.org/observations/30902325,https://inaturalist-open-data.s3.amazonaws.com/photos/48309199/medium.jpg,,"",,2,0,false,,"Bahagian Miri, Sarawak, Malaysia",4.2094989683,114.0305133809,2477,,,,2477,,,false,,,,Sarawak,Malaysia,Mosquitoes,Culicidae,Mosquitoes,Insecta,52134,Animalia,Arthropoda,Insecta,Diptera,Culicidae,,,
37725891,794375b2-5a97-4b47-b84c-ef554f841ed5,2020-01-19 7:24:52 AM GMT+08:00,2020-01-19,2020-01-18 23:24:52 UTC,Kuala Lumpur,890554,ongzi,Ong Jyh Seng,2020-01-18 23:49:19 UTC,2021-02-18 22:56:51 UTC,needs_id,CC-BY-SA,https://www.inaturalist.org/observations/37725891,https://inaturalist-open-data.s3.amazonaws.com/photos/59865155/medium.jpeg,,"",,2,0,false,2,"Sarikei, Sarawak, Malaysia",2.1149630547,111.5227355957,,,,,,,,false,gps,gps,,Sarawak,Malaysia,Stechmücken,Culicidae,Mosquitoes,Insecta,52134,Animalia,Arthropoda,Insecta,Diptera,Culicidae,,,
38010969,9e6c5439-edab-495c-8f4b-237b9fc34404,2014/06/24 10:14 AM +0800,2014-06-24,2014-06-24 02:14:00 UTC,Kuala Lumpur,1829749,cclborneo,Chien Lee,2020-01-27 01:59:33 UTC,2023-12-01 06:41:23 UTC,needs_id,,https://www.inaturalist.org/observations/38010969,https://static.inaturalist.org/photos/71234578/medium.jpg,,"Borneo, Caryophyllales, Culicidae, Diptera, East Malaysia, Insecta, Magnoliopsida, Malaysia, Nepenthaceae, Sarawak, Southeast Asia, animal, aquatic, arthropod, carnivorous plant, fauna, flora, fly, insect, insect-eating, insectivore, insectivorous, invertebrate, mosquito, pitcher plant, plant, predator, predatory, rainforest, tropical, tropical pitcher plant",Inside pitcher of Nepenthes ampullaria.,2,0,false,,"Sarawak, MY",1.7955411723,110.0726028303,,,,,31444,obscured,,true,,,,Sarawak,Malaysia,Elephant Mosquitoes,Toxorhynchites,Elephant Mosquitoes,Insecta,155464,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Toxorhynchites,,
53212226,b8474591-abdf-4bd5-a5ee-0339a4556abc,2014/01/22 10:46 AM +0800,2014-01-22,2014-01-22 02:46:00 UTC,Kuala Lumpur,1829749,cclborneo,Chien Lee,2020-07-16 00:24:09 UTC,2020-07-18 20:19:12 UTC,needs_id,,https://www.inaturalist.org/observations/53212226,https://static.inaturalist.org/photos/84620476/medium.jpg,,"Amphibia, Anura, Borneo, Caryophyllales, Culicidae, Culicomorpha, Diptera, East Malaysia, Insecta, Magnoliopsida, Malaysia, Microhylidae, Nematocera, Nepenthaceae, Sarawak, Southeast Asia, amphibian, animal, arthropod, carnivore, carnivorous, carnivorous plant, eat, eating, fauna, feeding, flora, fly, frog, insect, insect-eating, insectivore, insectivorous, invertebrate, mosquito, narrow-mouthed frog, pitcher plant, plant, predate, predation, predator, predatory, prey, tropical, tropical pitcher plant, wildlife",Larva preying on tadpole of Microhyla sp. within a Nepenthes ampullaria pitcher.,0,0,false,,"Marudi, MY-SK, MY",4.1778418271,114.8963053334,1000,,,,31411,obscured,,true,,,,Sarawak,Malaysia,Elephant Mosquitoes,Toxorhynchites,Elephant Mosquitoes,Insecta,155464,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Toxorhynchites,,
71542343,0317d9d4-c53c-4ebc-9193-6226b6eff2af,2021-03-19 6:36:16 PM GMT+08:00,2021-03-19,2021-03-19 02:36:16 UTC,Perth,4115188,loimingxun149105,Loi Ming Xun,2021-03-19 10:37:26 UTC,2021-08-01 02:35:35 UTC,research,,https://www.inaturalist.org/observations/71542343,https://static.inaturalist.org/photos/116495140/medium.jpeg,,"",,2,0,false,2,"Teng Kung Suk 3, 96000 Sibu, Sarawak, Malaysia",2.242825,111.8480708,33,,,,33,,,false,,,,Sarawak,Malaysia,Asiatische Tigermücke,Aedes albopictus,Asian Tiger Mosquito,Insecta,62984,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes albopictus,
74024368,8637928d-8d06-45c6-9a00-ea6916b80e8f,2013/02/26 1:15 PM UTC,2013-02-26,2013-02-26 13:15:00 UTC,UTC,1840100,cdjshepherd,Christopher Shepherd,2021-04-15 08:20:52 UTC,2021-11-18 19:49:44 UTC,needs_id,,https://www.inaturalist.org/observations/74024368,https://static.inaturalist.org/photos/120936832/medium.jpeg,,"",,1,0,false,,"Bahagian Miri, Sarawak, Malaysia",4.0475064604,114.8169708252,2150,,,,2150,,,false,,,,Sarawak,Malaysia,Zancudos,Culicidae,Mosquitoes,Insecta,52134,Animalia,Arthropoda,Insecta,Diptera,Culicidae,,,
78028289,f8c2875d-d918-479f-9f10-a83d1a808932,Sun May 09 2021 16:28:11 GMT+0800 (GMT+8),2021-05-09,2021-05-09 08:28:11 UTC,Perth,4379288,karangill,,2021-05-09 08:30:40 UTC,2021-05-09 08:44:17 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/78028289,https://inaturalist-open-data.s3.amazonaws.com/photos/127653419/medium.jpg,,"","",0,0,false,3,"Lorong Matang Jaya 9B, Kuching, Sarawak, MY",1.575540965,110.2939888366,65,,,,65,,,false,,,,Sarawak,Malaysia,"",Aedes,,Insecta,62989,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,,
